Caption,clean_caption,intents,sentiment,sentiment_confidence,routed_model
"this is our elephant friend, Billard. ",this is our elephant friend billard,"['entertainment', 'social sharing']",neutral,0.653,roberta
This goes out to everyone who hates on my cropping skills F U ,this goes out to everyone who hates on my cropping skills f u,"['motivation', 'complaining', 'seeking advice', 'feedback to provider']",negative,0.956,roberta
LOL so much Balmain booty!!! ,lol so much balmain booty,"['entertainment', 'complaining', 'fashion']",neutral,0.605,roberta
HEY LOOK MOM! ,hey look mom,"['social sharing', 'seeking advice', 'celebrating', 'feedback to provider']",neutral,0.558,roberta
ain't no party like an iPhone party! ,aint no party like an iphone party,"['celebrating', 'entertainment', 'luxury', 'social sharing']",neutral,0.559,roberta
New New 👟💚💚💚 ,new new :runningshoe::greenheart::greenheart::greenheart:,"['celebrating', 'entertainment', 'self-improvement', 'social sharing']",neutral,0.611,roberta
today in New York 15 years later. I was young but I will 9/11. Honoring the victims that were lost today and the courageous ones who served. 🇺🇸 ,today in new york 15 years later i was young but i will 911 honoring the victims that were lost today and the courageous ones who served :unitedstates:,[],positive,0.548,roberta
❤ ,:redheart:,"['feedback to provider', 'social sharing', 'celebrating', 'motivation']",neutral,0.769,roberta
Khloe & I brought along our cousins Kourtni & Kara Kardashian. We miss you Krista! Yes we have 3 cousins who are sisters that all start with a K too! LOL ,khloe i brought along our cousins kourtni kara kardashian we miss you krista yes we have 3 cousins who are sisters that all start with a k too lol,"['social sharing', 'celebrating', 'travel', 'diversification intent']",positive,1.0,finbert
My sweet Stormi and Psalm ,my sweet stormi and psalm,"['celebrating', 'luxury', 'seeking advice']",positive,0.66,roberta
restocking soon.. Follow for updates 💕 ,restocking soon follow for updates :twohearts:,"['social sharing', 'diversification intent', 'premium card curiosity', 'risk mitigation']",positive,1.0,finbert
Hairstyle Throwback Thursday- tossly hair ,hairstyle throwback thursday tossly hair,"['entertainment', 'fashion']",neutral,0.894,roberta
I LOVE THE GLAM BIBLE whole look!! This lip liner and highlighter are my fave 😍It’s all available NOW on kkwbeauty.com ,i love the glam bible whole look this lip liner and highlighter are my fave :smilingfacewithhearteyes:its all available now on kkwbeautycom,"['luxury', 'celebrating']",positive,0.991,roberta
Love this Leggo clutch ,love this leggo clutch,"['fashion', 'luxury', 'entertainment', 'celebrating']",positive,0.972,roberta
Look what I saw at the airport ,look what i saw at the airport,"['travel', 'social sharing', 'entertainment', 'feedback to provider']",neutral,0.743,roberta
baby pink ,baby pink,"['luxury', 'celebrating', 'social sharing', 'fashion']",neutral,0.634,roberta
Shmoood ,shmoood,"['diversification intent', 'social sharing', 'motivation', 'self-improvement']",positive,0.995,finbert
thank you ❤️❤️ ,thank you :redheart::redheart:,"['celebrating', 'feedback to provider', 'motivation', 'social sharing']",positive,0.864,roberta
Loo how many people showed up for my show lol Jk ,loo how many people showed up for my show lol jk,"['entertainment', 'complaining', 'feedback to provider', 'premium card curiosity']",positive,1.0,finbert
Morning :) My flat tummy secret is my teatox! We need all the help we can get to keep off the holiday pounds. So keeping my with me keeps my waistline slim! Get yours here at http://bit.ly/kylielyfe ,morning : my flat tummy secret is my teatox we need all the help we can get to keep off the holiday pounds so keeping my with me keeps my waistline slim get yours here at,"['seeking advice', 'social sharing', 'self-improvement', 'motivation']",neutral,0.612,roberta
Serious sister moment ,serious sister moment,['social sharing'],neutral,0.768,roberta
Mornin' ,mornin,"['social sharing', 'celebrating', 'feedback to provider', 'motivation']",neutral,0.611,roberta
"- I’m obsessed with Em Ford She’s a retired model and a current beauty blogger who does dope makeup. She recently revealed on that underneath her makeup she has severe acne. “I never had acne when I was a teenager and then at the end of 2014 it just happened. That’s the crazy thing about acne… it doesn’t discriminate on who you are (old, young, black, white, rich, poor)"". Her posts of her makeupless selfies resulted in over 100,000 crazy negative comments on her pictures. Em made a very powerful video highlighting the negative comments she received on her social media after the makeupless selfies. The video racked up 8 million views in the first week and has now been viewed over 15 million times. Em’s biggest advice was to “make friends with the person you see in the mirror because that will change your life. It’s really difficult to do and it’s going to take longer than 2 or 3 days… but once you do it will change your life.” Check out Em’s Instagram - she’s proving to the haters that my acne. ",im obsessed with em ford shes a retired model and a current beauty blogger who does dope makeup she recently revealed on that underneath her makeup she has severe acne i never had acne when i was a teenager and then at the end of 2014 it just happened thats the crazy thing about acne it doesnt discriminate on who you are old young black white rich poor her posts of her makeupless selfies resulted in over 100000 crazy negative comments on her pictures em made a very powerful video highlighting the negative comments she received on her social media after the makeupless selfies the video racked up 8 million views in the first week and has now been viewed over 15 million times ems biggest advice was to make friends with the person you see in the mirror because that will change your life its really difficult to do and its going to take longer than 2 or 3 days but once you do it will change your life check out ems instagram shes proving to the haters that my acne,"['self-improvement', 'social sharing', 'motivation', 'seeking advice']",neutral,0.462,roberta
when you can finally put your weave up in a bun ,when you can finally put your weave up in a bun,"['fashion', 'luxury', 'self-improvement', 'celebrating']",neutral,0.745,roberta
That's a wrap! ,thats a wrap,"['feedback to provider', 'social sharing']",neutral,0.617,roberta
This is my promo pic for Season 11 of Keeping Up With the Kardashians! (I was 5 months pregnant here.) 📷 💄 💆🏽 👗 ,this is my promo pic for season 11 of keeping up with the kardashians i was 5 months pregnant here :camera: :lipstick: :persongettingmassagemediumskintone: :dress:,"['entertainment', 'social sharing']",neutral,0.872,roberta
Omg ,omg,"['entertainment', 'complaining', 'feedback to provider', 'premium card curiosity']",positive,0.999,finbert
surprised me this morning with a visit from this cutie! ,surprised me this morning with a visit from this cutie,"['entertainment', 'social sharing']",positive,0.988,roberta
Thank you and And so grateful to for the interview- link in bio. Wearing by And also thanks to my team 😍 ,thank you and and so grateful to for the interview link in bio wearing by and also thanks to my team :smilingfacewithhearteyes:,"['celebrating', 'social sharing']",positive,0.985,roberta
25 ,25,"['feedback to provider', 'social sharing', 'luxury', 'premium card curiosity']",positive,0.997,finbert
Happy Birthday to my cousin !!! I will never forget this trip to Paris! You're our link to my dad's side of the family and I will never forget all of the family stories & history you share with us constantly! I love you so much chonch! ,happy birthday to my cousin i will never forget this trip to paris youre our link to my dads side of the family and i will never forget all of the family stories history you share with us constantly i love you so much chonch,"['celebrating', 'travel', 'social sharing']",positive,0.992,roberta
Golf wang ,golf wang,['entertainment'],neutral,0.835,roberta
Hey dolls! Get glammed by and then join me at a special event this weekend in the See you there! http://smarturl.it/getkkh ,hey dolls get glammed by and then join me at a special event this weekend in the see you there,"['social sharing', 'entertainment', 'luxury', 'motivation']",neutral,0.602,roberta
These girls are my other sisters ,these girls are my other sisters,['social sharing'],neutral,0.836,roberta
Glamour July 2015 Cover 📷 Patrick Demarchelier ,glamour july 2015 cover :camera: patrick demarchelier,"['celebrating', 'luxury', 'fashion', 'career growth']",neutral,0.917,roberta
Love to the I met at the shoot yesterday. ,love to the i met at the shoot yesterday,"['entertainment', 'celebrating', 'motivation', 'diversification intent']",positive,0.999,finbert
Love this guy ,love this guy,"['entertainment', 'celebrating', 'feedback to provider', 'social sharing']",positive,0.979,roberta
👽 ,:alien:,['feedback to provider'],neutral,0.66,roberta
"No one should have to go to school in fear of gun violence. Or to a nightclub. Or to a concert. Or to a movie theater. Or to their place of worship. I’ve made a donation to show my support for the students, for the March For Our Lives campaign, for everyone affected by these tragedies, and to support gun reform. I’m so moved by the Parkland High School students, faculty, by all families and friends of victims who have spoken out, trying to prevent this from happening again. ",no one should have to go to school in fear of gun violence or to a nightclub or to a concert or to a movie theater or to their place of worship ive made a donation to show my support for the students for the march for our lives campaign for everyone affected by these tragedies and to support gun reform im so moved by the parkland high school students faculty by all families and friends of victims who have spoken out trying to prevent this from happening again,"['motivation', 'social sharing', 'feedback to provider', 'account access issue']",neutral,0.457,roberta
rollers and a cycocycle ,rollers and a cycocycle,['crypto investing'],positive,1.0,finbert
💫 ,:dizzy:,"['complaining', 'entertainment', 'feedback to provider', 'seeking advice']",neutral,0.76,roberta
LQDCELL Shatter 👟👟 by ❤️ ,lqdcell shatter :runningshoe::runningshoe: by :redheart:,"['complaining', 'feedback to provider', 'transaction dispute']",neutral,0.908,roberta
official 💯✔️ ,official :hundredpoints::checkmark:,"['celebrating', 'travel card interest', 'feedback to provider', 'luxury']",positive,1.0,finbert
missing family ❤️ ,missing family :redheart:,['EMI concern'],positive,1.0,finbert
WHO’S GONNA TELL HER SHE’S THIRTAY NOW 🧁 ,whos gonna tell her shes thirtay now :cupcake:,"['food', 'seeking advice', 'social sharing', 'celebrating']",neutral,0.821,roberta
Luka man ,luka man,"['feedback to provider', 'luxury', 'celebrating', 'social sharing']",neutral,0.534,roberta
On set with ,on set with,"['feedback to provider', 'luxury', 'premium card curiosity', 'mutual fund interest']",positive,1.0,finbert
Crazy eyes :p ,crazy eyes :p,"['entertainment', 'social sharing', 'feedback to provider', 'premium card curiosity']",positive,0.987,finbert
BFF time ,bff time,"['social sharing', 'celebrating', 'entertainment', 'luxury']",neutral,0.602,roberta
74 🙏🏽❤️ ,74 :foldedhandsmediumskintone::redheart:,"['social sharing', 'celebrating', 'feedback to provider', 'self-improvement']",neutral,0.879,roberta
new belt ,new belt,"['fashion', 'self-improvement', 'luxury', 'diversification intent']",positive,0.998,finbert
Blu came to school 💙 ,blu came to school :blueheart:,"['education', 'social sharing', 'diversification intent', 'celebrating']",positive,1.0,finbert
Testing testing.... Testing out the effects ,testing testing testing out the effects,"['diversification intent', 'self-improvement']",positive,1.0,finbert
Where's Kendall when I need her...😭 ,wheres kendall when i need her:loudlycryingface:,"['seeking advice', 'complaining', 'feedback to provider', 'account access issue']",neutral,0.606,roberta
and I just devoured this grilled cheese.... ,and i just devoured this grilled cheese,"['food', 'luxury', 'entertainment', 'celebrating']",positive,0.903,roberta
You make meee shhhmile ,you make meee shhhmile,"['complaining', 'motivation', 'entertainment', 'feedback to provider']",neutral,0.473,roberta
well hello Arizona ,well hello arizona,"['travel', 'premium card curiosity', 'diversification intent', 'seeking advice']",neutral,0.563,finbert
Making magic in a tiger onesie ,making magic in a tiger onesie,"['entertainment', 'fashion', 'diversification intent', 'luxury']",positive,1.0,finbert
Milkshake TWIME! ,milkshake twime,"['food', 'entertainment', 'celebrating', 'social sharing']",neutral,0.805,roberta
Day 2 ,day 2,"['social sharing', 'travel', 'luxury', 'feedback to provider']",neutral,0.639,roberta
Love these girls! ,love these girls,"['entertainment', 'social sharing', 'celebrating', 'luxury']",positive,0.984,roberta
Thee Best 👗 ,thee best :dress:,"['fashion', 'luxury', 'celebrating', 'product comparison']",positive,0.841,roberta
Casual look back for Adidas. SO. I'm working with adidas NEO Label on the a special fashion show created by YOU! Watch to learn how you can get involved so I can give you a shout out! http://youtu.be/eGDyU6RvSZg ,casual look back for adidas so im working with adidas neo label on the a special fashion show created by you watch to learn how you can get involved so i can give you a shout out,"['fashion', 'feedback to provider', 'entertainment', 'celebrating']",positive,0.723,roberta
BODY II & BODY III are sold out!!! Go to kkwfragrance.com and sign up for restock news! BODY I is still available! ,body ii body iii are sold out go to kkwfragrancecom and sign up for restock news body i is still available,"['risk mitigation', 'financial management', 'fitness', 'self-improvement']",positive,1.0,finbert
Loving braids ,loving braids,"['fashion', 'celebrating', 'entertainment', 'luxury']",neutral,0.515,roberta
"""ready for the day"" lawl ",ready for the day lawl,"['motivation', 'fitness', 'luxury', 'feedback to provider']",neutral,0.599,roberta
Johnny Rockets. 🚀 ,johnny rockets :rocket:,"['travel', 'product comparison', 'feedback to provider', 'entertainment']",neutral,0.785,roberta
"Mrs. West Collection is dropping this Friday on my actual anniversary kkwbeauty.com. I have sent this collection of shadows, blush, hi lighter, lip stick, lip liner and gloss to all of my friends and I have never gotten a response like this from everyone loving the colors so much! Makes me so happy! I know you all will love it ✨ ",mrs west collection is dropping this friday on my actual anniversary kkwbeautycom i have sent this collection of shadows blush hi lighter lip stick lip liner and gloss to all of my friends and i have never gotten a response like this from everyone loving the colors so much makes me so happy i know you all will love it :sparkles:,"['celebrating', 'social sharing', 'feedback to provider', 'motivation']",positive,0.991,roberta
just rocked Bonnaroo ,just rocked bonnaroo,"['entertainment', 'celebrating', 'social sharing', 'feedback to provider']",positive,0.906,roberta
miss you ! ,miss you,"['feedback to provider', 'social sharing']",neutral,0.603,roberta
red ,red,"['social sharing', 'feedback to provider', 'seeking advice', 'premium card curiosity']",positive,0.989,finbert
♥️ ,:heartsuit:,"['fashion', 'luxury', 'social sharing', 'risk mitigation']",positive,0.994,finbert
Miss you so much! You would be so proud of The Robert G Kardashian Esophageal Center at I have seen how so far in such a short period of time that we have helped so many and i am grateful to all of the amazing staff and doctors! ,miss you so much you would be so proud of the robert g kardashian esophageal center at i have seen how so far in such a short period of time that we have helped so many and i am grateful to all of the amazing staff and doctors,"['feedback to provider', 'celebrating']",positive,0.989,roberta
Keep it 100 baby ,keep it 100 baby,"['motivation', 'celebrating', 'feedback to provider', 'fitness']",positive,0.581,roberta
"So... helped me pull off the best surprise clue reveal today in Nashville!! Thank you to everyone who showed up, I’ve never been more proud of your FBI level detective skills. Next clue: I’ll be joining the magnificent for a chat tonight on ABC live from Nashville 💕💕💕💕💕💕💕 ",so helped me pull off the best surprise clue reveal today in nashville thank you to everyone who showed up ive never been more proud of your fbi level detective skills next clue: ill be joining the magnificent for a chat tonight on abc live from nashville :twohearts::twohearts::twohearts::twohearts::twohearts::twohearts::twohearts:,"['celebrating', 'social sharing', 'seeking advice', 'feedback to provider']",positive,0.99,roberta
Fammm ,fammm,"['social sharing', 'feedback to provider', 'mutual fund interest', 'celebrating']",positive,0.999,finbert
Getting ready for my close up 💄💆 ,getting ready for my close up :lipstick::persongettingmassage:,"['self-improvement', 'risk mitigation', 'career growth', 'social sharing']",positive,1.0,finbert
sneak peek. cover ,sneak peek cover,"['risk mitigation', 'diversification intent', 'entertainment', 'premium card curiosity']",positive,0.997,finbert
Night at the museum in Japan ,night at the museum in japan,"['entertainment', 'celebrating', 'social sharing', 'premium card curiosity']",positive,1.0,finbert
obsessed with my new jewelry 💎 ,obsessed with my new jewelry :gemstone:,"['luxury', 'fashion', 'wealth building', 'celebrating']",negative,0.827,finbert
I've obviously been in 's watch drawer ,ive obviously been in s watch drawer,['risk mitigation'],positive,1.0,finbert
🗡 ,:dagger:,"['risk mitigation', 'feedback to provider']",positive,0.994,finbert
Flashback to when Niccolo & I were going over new updates & additions in Kim Kardashian Hollywood. Tune in tonight to see it all ,flashback to when niccolo i were going over new updates additions in kim kardashian hollywood tune in tonight to see it all,['entertainment'],neutral,0.859,roberta
Like butter. ,like butter,"['food', 'luxury', 'product comparison', 'feedback to provider']",neutral,0.72,roberta
Follow me on keek!!! ,follow me on keek,"['social sharing', 'self-improvement', 'motivation', 'entertainment']",neutral,0.796,roberta
SPRINKLE lip kit dropping on KylieCosmetics.com tomorrow.. & P.S. Kourt X KYLIE is also restocking tomorrow! Xo ,sprinkle lip kit dropping on kyliecosmeticscom tomorrow ps kourt x kylie is also restocking tomorrow xo,"['social sharing', 'celebrating', 'diversification intent', 'luxury']",positive,1.0,finbert
🇮🇹 ,:italy:,"['luxury', 'feedback to provider', 'social sharing', 'wellness']",neutral,0.718,roberta
Baby you're AWESOME ,baby youre awesome,"['celebrating', 'feedback to provider', 'entertainment', 'motivation']",positive,0.982,roberta
"[SWIPE] pumped for my fight against on August 25 🥊 he may be a horrible youtuber, but he makes great toilet paper. ",swipe pumped for my fight against on august 25 :boxingglove: he may be a horrible youtuber but he makes great toilet paper,"['motivation', 'product comparison', 'entertainment', 'celebrating']",neutral,0.36,roberta
Get your purpose staff apparel at urban outfitters ,get your purpose staff apparel at urban outfitters,"['diversification intent', 'motivation', 'self-improvement', 'career growth']",positive,1.0,finbert
New lids ,new lids,"['luxury', 'self-improvement', 'diversification intent', 'celebrating']",positive,0.999,finbert
i haven’t told y’all this yet but im actually a super saiyan 🤫 ,i havent told yall this yet but im actually a super saiyan :shushingface:,"['savings planning', 'self-improvement', 'complaining', 'seeking advice']",positive,0.999,finbert
😏 ,:smirkingface:,"['entertainment', 'social sharing', 'celebrating', 'feedback to provider']",neutral,0.713,roberta
Last nights vibes! ,last nights vibes,"['social sharing', 'celebrating', 'feedback to provider']",neutral,0.787,roberta
My 2019 calendar is now available on KylieJennerShop.com 🖤 ,my 2019 calendar is now available on kyliejennershopcom :blackheart:,"['social sharing', 'celebrating', 'self-improvement', 'diversification intent']",positive,1.0,finbert
😋 ,:facesavoringfood:,"['complaining', 'food', 'product comparison']",neutral,0.759,roberta
baby it's friday 🍁 ,baby its friday :mapleleaf:,"['celebrating', 'social sharing', 'diversification intent', 'feedback to provider']",positive,1.0,finbert
Yummy! Sliders! 🍔🍔🍔 ,yummy sliders :hamburger::hamburger::hamburger:,"['food', 'entertainment', 'celebrating', 'social sharing']",neutral,0.481,roberta
"Get my bro Adam's book Founder of Pencil Of Promise. It talks a little about some of our travels together and us sharing a room, he slapped the shit out of my back lol read why, it's also one of the most inspiring books I've ever read. Proud of you ADAM :) ",get my bro adams book founder of pencil of promise it talks a little about some of our travels together and us sharing a room he slapped the shit out of my back lol read why its also one of the most inspiring books ive ever read proud of you adam :,"['travel', 'motivation', 'celebrating', 'social sharing']",positive,0.963,roberta
is coming to this holiday season! My fragrances launch in all stores across the country on Sunday 11/25! ,is coming to this holiday season my fragrances launch in all stores across the country on sunday 1125,"['celebrating', 'luxury', 'diversification intent']",positive,1.0,finbert
dreamworld. goodnight ✨ ,dreamworld goodnight :sparkles:,"['luxury', 'entertainment', 'social sharing', 'feedback to provider']",neutral,0.507,roberta
me by and for ,me by and for,"['social sharing', 'motivation', 'feedback to provider', 'self-improvement']",neutral,0.799,roberta
Bye Brazil! Thanks for the quick 24hour trip! ,bye brazil thanks for the quick 24hour trip,"['travel', 'feedback to provider', 'travel card interest', 'social sharing']",neutral,0.903,finbert
Me & Preston ,me preston,"['risk mitigation', 'self-improvement', 'diversification intent', 'income insecurity']",positive,0.996,finbert
cuddle boy ,cuddle boy,"['social sharing', 'entertainment', 'luxury']",neutral,0.492,roberta
No helmet. Rebel. ,no helmet rebel,"['complaining', 'risk mitigation', 'motivation', 'diversification intent']",positive,0.994,finbert
Sooo glad is on instagram!!!! Now we need to get Simon addicted! ,sooo glad is on instagram now we need to get simon addicted,"['social sharing', 'entertainment', 'motivation', 'celebrating']",positive,0.927,roberta
Only Lol. It's true. I'm performing on the :) ,only lol its true im performing on the :,"['entertainment', 'self-improvement', 'social sharing', 'feedback to provider']",positive,0.628,roberta
loli💥 ,loli:collision:,"['luxury', 'feedback to provider']",neutral,0.703,roberta
I curated sets of 6 of my favorite shades online and ,i curated sets of 6 of my favorite shades online and,"['social sharing', 'diversification intent', 'luxury', 'celebrating']",positive,1.0,finbert
I only FaceTime foods ,i only facetime foods,"['food', 'social sharing']",neutral,0.764,roberta
Selfish ,selfish,[],negative,0.623,roberta
🙏 ,:foldedhands:,"['social sharing', 'diversification intent', 'risk mitigation', 'feedback to provider']",positive,1.0,finbert
"Ad Week cover. Loved shooting this!!! Thanks for make up, for hair & for styling it in all ",ad week cover loved shooting this thanks for make up for hair for styling it in all,"['celebrating', 'feedback to provider', 'entertainment', 'luxury']",positive,0.976,roberta
Mugler nights ✨Thank you for letting me wear this iconic dress✨Congrats to on winning his Hollywood Beauty Award! You’re so deserving of this award! ,mugler nights :sparkles:thank you for letting me wear this iconic dress:sparkles:congrats to on winning his hollywood beauty award youre so deserving of this award,"['celebrating', 'feedback to provider', 'luxury', 'entertainment']",positive,0.986,roberta
Rad ,rad,"['social sharing', 'feedback to provider', 'self-improvement', 'celebrating']",neutral,0.491,roberta
NYC BABY ,nyc baby,"['social sharing', 'celebrating', 'diversification intent', 'feedback to provider']",positive,1.0,finbert
okay beautiful 😍 Thanks everyone for coming out last night. ,okay beautiful :smilingfacewithhearteyes: thanks everyone for coming out last night,"['social sharing', 'celebrating', 'feedback to provider', 'entertainment']",positive,0.988,roberta
Kendall stole this pic to make it look like it was her .... ,kendall stole this pic to make it look like it was her,"['social sharing', 'account access issue', 'risk mitigation', 'entertainment']",positive,0.989,finbert
Thank you Nashville for all of the love! And for bringing me out here! ,thank you nashville for all of the love and for bringing me out here,"['travel', 'celebrating', 'entertainment', 'social sharing']",positive,0.983,roberta
"Just posted a new Vine! ""World's Worst Cowboy"" ... Go give it some love! 👱 ",just posted a new vine worlds worst cowboy go give it some love :personblondhair:,"['social sharing', 'entertainment', 'motivation']",neutral,0.486,roberta
💜 ,:purpleheart:,"['celebrating', 'social sharing', 'feedback to provider', 'motivation']",neutral,0.562,roberta
"""Justin ew why are you wearing a bandana"" Me : ""don't ask questions"" ",justin ew why are you wearing a bandana me : dont ask questions,"['complaining', 'feedback to provider', 'seeking advice', 'risk mitigation']",positive,0.997,finbert
Silly time 😜😝 ,silly time :winkingfacewithtongue::squintingfacewithtongue:,"['entertainment', 'social sharing', 'diversification intent']",positive,1.0,finbert
Morning ☀️ ,morning :sun:,"['celebrating', 'feedback to provider', 'social sharing', 'motivation']",neutral,0.764,roberta
Miss basketball ,miss basketball,"['complaining', 'feedback to provider', 'seeking advice']",negative,0.482,roberta
My favorite time of the year :) have a great day everyone! God bless ,my favorite time of the year : have a great day everyone god bless,"['celebrating', 'social sharing', 'wellness', 'feedback to provider']",positive,0.992,roberta
My fave pajamas available now SKIMS.COM Follow us on Instagram ,my fave pajamas available now skimscom follow us on instagram,"['social sharing', 'fashion', 'product comparison', 'celebrating']",positive,0.848,roberta
In case people think these were hickeys I've been having neck problems and its from this tool called graston to scrape the stagnant blood and scar tissue lol ,in case people think these were hickeys ive been having neck problems and its from this tool called graston to scrape the stagnant blood and scar tissue lol,"['self-improvement', 'entertainment', 'risk mitigation']",negative,1.0,finbert
Love you ,love you,"['celebrating', 'social sharing', 'feedback to provider', 'motivation']",positive,0.924,roberta
ME/NORTH ,menorth,"['premium card curiosity', 'self-improvement', 'feedback to provider', 'motivation']",positive,0.997,finbert
Good game ♛ ,good game,"['entertainment', 'celebrating', 'feedback to provider', 'premium card curiosity']",neutral,0.998,finbert
My Brothers <3 ,my brothers 3,['social sharing'],neutral,0.681,roberta
Downtown with my ladies 💙 ,downtown with my ladies :blueheart:,"['celebrating', 'social sharing', 'entertainment', 'luxury']",neutral,0.566,roberta
traffic ,traffic,['travel'],neutral,0.696,roberta
Styling made easy with !! ,styling made easy with,['luxury'],positive,0.731,roberta
Everyone should listen to he knows what he is talking about. ;) ,everyone should listen to he knows what he is talking about,"['feedback to provider', 'seeking advice', 'social sharing', 'self-improvement']",positive,0.657,roberta
Repost from ❤️ ,repost from :redheart:,"['social sharing', 'feedback to provider', 'celebrating', 'entertainment']",neutral,0.873,roberta
I know you graduated last year but so proud of you!!!! Class of 2014 🎓 ,i know you graduated last year but so proud of you class of 2014 :graduationcap:,"['celebrating', 'education', 'social sharing', 'motivation']",positive,0.985,roberta
Hi New Year. Let’s make this one better than the rest. ,hi new year lets make this one better than the rest,"['self-improvement', 'motivation', 'social sharing', 'celebrating']",positive,0.951,roberta
my little tiny angel baby big sister ,my little tiny angel baby big sister,"['celebrating', 'social sharing']",positive,0.862,roberta
to last week in Paris ,to last week in paris,"['travel', 'luxury', 'travel card interest', 'celebrating']",positive,1.0,finbert
2007 pic taken on my blackberry by ,2007 pic taken on my blackberry by,['social sharing'],neutral,0.884,roberta
BLUSHES!!! I'm beyond excited to welcome these to the Kylie Cosmetics family! I'm obsessed with blush and it's a dream that I can finally have MY OWN! 😍 can't wait for you guys to experience these build-able Matte beauties! They launch this Friday at 3pm pst only on KylieCosmetics.com check out my snap to see a more xx ,blushes im beyond excited to welcome these to the kylie cosmetics family im obsessed with blush and its a dream that i can finally have my own :smilingfacewithhearteyes: cant wait for you guys to experience these buildable matte beauties they launch this friday at 3pm pst only on kyliecosmeticscom check out my snap to see a more xx,"['celebrating', 'social sharing', 'luxury', 'motivation']",positive,0.992,roberta
Look at Philips eyes ,look at philips eyes,"['social sharing', 'entertainment', 'premium card curiosity']",positive,1.0,finbert
throwback birthday vacation ,throwback birthday vacation,"['celebrating', 'travel', 'entertainment', 'luxury']",neutral,0.609,roberta
❤ ,:redheart:,"['feedback to provider', 'social sharing', 'celebrating', 'motivation']",neutral,0.769,roberta
I love you guys<3 ,i love you guys3,"['celebrating', 'social sharing', 'feedback to provider', 'motivation']",positive,0.985,roberta
❤ ,:redheart:,"['feedback to provider', 'social sharing', 'celebrating', 'motivation']",neutral,0.769,roberta
Temple Run ohhh ya! 🏃 ,temple run ohhh ya :personrunning:,"['fitness', 'celebrating', 'complaining', 'entertainment']",neutral,0.851,roberta
Watch my my family grow up follow my dog ,watch my my family grow up follow my dog,"['entertainment', 'social sharing']",positive,0.648,roberta
movie night 🖤 what’s your favorite movie? ,movie night :blackheart: whats your favorite movie,"['social sharing', 'entertainment', 'celebrating']",neutral,0.811,roberta
